Счет,OpertnDate,Adresat,Ist,TovCode,EdIzmer,Kolvo,Place,пп/пк,Комиссионер
61р/пп/26,20.01.26,"ИП Сушкин С.В.",х9370а,"Полипропилен-гранулиров. (РР Н030)",тн,4,"АО ""НСК""",,
103/пп/26,20.01.26,"ООО ""СП Комплект""",х9292,"Полиэтилен-HD 85612 IM",тн,2.75,"АО ""НСК""",,
75т/26Б,21.01.26,"ООО""Мир полимеров""",х9431,"Полипропилен-SIBEX PP R401 IM/5",тн,6.75,"АО ""НСК""",,
109/пп/26,21.01.26,"ООО ""АИС ГРУПП""",х9265,"ПВД-15813-020 вс",тн,0.75,"АО ""НСК""",,
128/пп/26,21.01.26,"ООО ""МосПолимер""",х9440,"Полипропилен-SIBEX PP R401 IM/5",тн,1.5,"АО ""НСК""",,
208/ПК/26,21.01.26,"ООО ""Полимерпак"" Рязань",х9400г,"Полиэтилен-HD 12443 FE",тн,2.75,"АО ""НСК""",,
209/ПК/26,21.01.26,"ООО ""РязаньПринт""",х9400б,"Полиэтилен-HD 12443 FE",тн,5.5,"АО ""НСК""",,
207/ПК/26,21.01.26,"ООО ""Принтсервис""",х9355а,"Полиэтилен-HD 10500 FE",тн,6,"АО ""НСК""",,
108вт/26Б,22.01.26,"ООО ""ПолимерАльянс""",х9258е,"Полиэтилен-LL 0920 TR/5",тн,5,"АО ""НСК""",,
163/пп/26,22.01.26,"ООО ""ПроСинтез""",х9295,"Полиэтилен-HD 12500 LB",тн,2.75,"АО ""НСК""",,
108ат/26Б,22.01.26,"ООО ""ПолимерАльянс""",х8793б,"Полипропилен-PP H030 GP",тн,1.375,"АО ""НСК""",,
92т/26Б,22.01.26,"ООО ""Шолле ИПН Восточная Европа""",х9292,"Полиэтилен-HD 85612 IM",тн,5.5,"АО ""НСК""",,
108бт/26Б,22.01.26,"ООО ""ПолимерАльянс""",х9229,"Полипропилен-PP H030 GP/3",тн,3.625,"АО ""НСК""",,
98т/26Б,23.01.26,"ООО ""ПК Диапазон""",х9136а,"Полипропилен-PP H030 GP/8",тн,9.625,"АО ""НСК""",,
171/пп/26,23.01.26,"ООО ""ПолиТэр""",х9413,"Полиэтилен-HD 10500 FE",тн,22.5,"АО ""НСК""",,
173/пп/26,23.01.26,"ООО ""МосПолимер""",х9267,"ПВД-15803-020 вс",тн,1.5,"АО ""НСК""",,
42/пп/26,23.01.26,"ООО ""ЭЛЬКОМ""",х9299в,"ПВД-15803-020 вс",тн,1.9,"АО ""НСК""",,
180/пп/26,23.01.26,"ООО ""ПроСинтез""",х9268,"ПВД-15803-020 вс",тн,2.5,"АО ""НСК""",,
174/пп/26,23.01.26,"ООО ""МосПолимер""",х9238,"Полипропилен-PP H030 GP/3",тн,0.3,"АО ""НСК""",,
59/пп/26,23.01.26,"ООО ""БЕЛЛА""",х9431,"Полипропилен-SIBEX PP R401 IM/5",тн,10.125,"АО ""НСК""",,
109т/26Б,23.01.26,"ООО ""СПЕКТР"" г.Москва",х9293,"ПВД-10803-020 ВС",тн,0.6,"АО ""НСК""",,
129/пп/26,23.01.26,"ООО ""МосПолимер""",х9440,"Полипропилен-SIBEX PP R401 IM/5",тн,1.5,"АО ""НСК""",,
40/пп/26,23.01.26,"ООО ""ЭЛЬКОМ""",х9205а,"Полиэтилен-LL 09200 FE",тн,4.5,"АО ""НСК""",,
181/пп/26,23.01.26,"ООО ""ПроСинтез""",х9083,"Полипропилен-SIBEX PP H270 FF/3",тн,6,"АО ""НСК""",,
97т/26Б,23.01.26,"ООО ""ПК Диапазон""",х9266,"Полипропилен-PP H030 GP/1",тн,10.5,"АО ""НСК""",,
182/пп/26,23.01.26,"ООО ""ПроСинтез""",х9355б,"Полиэтилен-HD 03580 SB",тн,0.75,"АО ""НСК""",,
177/пп/26,23.01.26,"ООО ""ПолиТэр""",х9395,"Полиэтилен-HD 10500 FE",тн,22.5,"АО ""НСК""",,
183/пп/26,23.01.26,"ООО ""ПроСинтез""",х9205а,"Полиэтилен-LL 09200 FE",тн,3.25,"АО ""НСК""",,
42/пп/26,23.01.26,"ООО ""ЭЛЬКОМ""",х9220а,"ПВД-15803-020 вс",тн,3.1,"АО ""НСК""",,
41/пп/26,23.01.26,"ООО ""ЭЛЬКОМ""",х9265,"ПВД-15813-020 вс",тн,0.5,"АО ""НСК""",,
182/пп/26,23.01.26,"ООО ""ПроСинтез""",х9335,"Полиэтилен-HD 03580 SB",тн,8.25,"АО ""НСК""",,
109т/26Б,23.01.26,"ООО ""СПЕКТР"" г.Москва",х9287,"ПВД-10803-020 ВС",тн,9.4,"АО ""НСК""",,
122т/26Б,26.01.26,"ООО ""СПЕКТР"" г.Москва",х9440,"Полипропилен-SIBEX PP R401 IM/5",тн,10,"АО ""НСК""",,
211/пп/26,26.01.26,"ООО ""ЕвроСтрой""",х9440,"Полипропилен-SIBEX PP R401 IM/5",тн,2.25,"АО ""НСК""",,
127т/26Б,26.01.26,"ООО""АВА-ЛОТ""",х9285,"ПВД-15803-020 вс",тн,22.5,"АО ""НСК""",,
204/пп/26,26.01.26,"ООО ""ЭФЦЕТ""",х9355б,"Полиэтилен-HD 03580 SB",тн,0.1,"АО ""НСК""",,
196/пп/26,26.01.26,"ООО ""МИЛКФОР""",х9238,"Полипропилен-PP H030 GP/3",тн,1.2,"АО ""НСК""",,
196/пп/26,26.01.26,"ООО ""МИЛКФОР""",х9249,"Полипропилен-PP H030 GP/3",тн,18.3,"АО ""НСК""",,
226а/пп/26,27.01.26,"ООО ""КАРАТ НЧ""",х9355в,"Полиэтилен-LL 30200 FE",тн,12.3,"АО ""НСК""",,
142т/26Б,27.01.26,"ООО ""СПЕКТР"" г.Москва",х9445,"Полипропилен-PP H030 GP/3",тн,1.5,"АО ""НСК""",,
112бм/26Б,27.01.26,"АО ""Гамма""",х9291,"Полиэтилен-HD 85612 IM",тн,0.9,"АО ""НСК""",,
112бм/26Б,27.01.26,"АО ""Гамма""",х9292,"Полиэтилен-HD 85612 IM",тн,5.975,"АО ""НСК""",,
132/пп/26,27.01.26,"ООО ""МЕГАТОРГПАК""",х9411,"Полипропилен-гранулиров. (РР Н030)",тн,20,"АО ""НСК""",,
112ам/26Б,27.01.26,"АО ""Гамма""",х9346,"Полипропилен-PP I013 GP/5",тн,4.125,"АО ""НСК""",,
226а/пп/26,27.01.26,"ООО ""КАРАТ НЧ""",х9326а,"Полиэтилен-LL 30200 FE",тн,8.7,"АО ""НСК""",,
320/ПК/26,28.01.26,"ООО ""Легион""",х9440,"Полипропилен-SIBEX PP R401 IM/5",тн,0.025,"АО ""НСК""",,
191/пп/26,28.01.26,"ООО фирма ""Цикл""",х9400д,"Полиэтилен-HD 03580 SB",тн,22.5,"АО ""НСК""",,
242/пп/26,28.01.26,"ООО ""ПроСинтез""",х9291,"Полиэтилен-HD 85612 IM",тн,5,"АО ""НСК""",,
243/пп/26,28.01.26,"ООО ""ПроСинтез""",х9106,"Полипропилен-SIBEX PP H270 FF/3",тн,8.025,"АО ""НСК""",,
243/пп/26,28.01.26,"ООО ""ПроСинтез""",х9083,"Полипропилен-SIBEX PP H270 FF/3",тн,0.975,"АО ""НСК""",,
244/пп/26,28.01.26,"ООО ""ПроСинтез""",х9346,"Полипропилен-PP I013 GP/5",тн,2.25,"АО ""НСК""",,
229/пп/26,28.01.26,"ООО ""Легион""",х9104,"Полипропилен-PP H350 GP/2",тн,0.025,"АО ""НСК""",,
245/пп/26,28.01.26,"ООО ""ПроСинтез""",х9400б,"Полиэтилен-HD 12443 FE",тн,1.375,"АО ""НСК""",,
153ат/26Б,28.01.26,"ООО ""ПолимерАльянс""",х9258е,"Полиэтилен-LL 0920 TR/5",тн,5.58,"АО ""НСК""",,
231а/пп/26,28.01.26,"ООО ""КАРАТ НЧ""",х9311б,"ПВД-15813-020 вс",тн,0.675,"АО ""НСК""",,
231а/пп/26,28.01.26,"ООО ""КАРАТ НЧ""",х9265,"ПВД-15813-020 вс",тн,1.325,"АО ""НСК""",,
231а/пп/26,28.01.26,"ООО ""КАРАТ НЧ""",х9226а,"ПВД-15813-020 вс",тн,0.75,"АО ""НСК""",,
153бт/26Б,28.01.26,"ООО ""ПолимерАльянс""",х9445,"Полипропилен-PP H030 GP/3",тн,10.15,"АО ""НСК""",,
153вт/26Б,28.01.26,"ООО ""ПолимерАльянс""",х9287,"ПВД-10803-020 ВС",тн,2.125,"АО ""НСК""",,
153вт/26Б,28.01.26,"ООО ""ПолимерАльянс""",х9258б,"ПВД-10803-020 ВС",тн,0.5,"АО ""НСК""",,
246/пп/26,28.01.26,"ООО ""ПроСинтез""",х9296,"ПВД-15803-020 вс",тн,0.75,"АО ""НСК""",,
153вт/26Б,28.01.26,"ООО ""ПолимерАльянс""",х9258д,"ПВД-10803-020 ВС",тн,1.375,"АО ""НСК""",,
319/ПК/26,28.01.26,"ООО ""Легион""",х8935,"Полипропилен-гранулиров. (РР Н550)",тн,5,"АО ""НСК""",,
246а/пп/26,28.01.26,"ООО ""ПЛАСТИК""г.Рязань",х9370а,"Полипропилен-гранулиров. (РР Н030)",тн,1,"АО ""НСК""",,
247/пп/26,28.01.26,"ООО ""ПроСинтез""",х9287,"ПВД-10803-020 ВС",тн,0.5,"АО ""НСК""",,
149т/26Б,28.01.26,"ООО ""АКВАНТ""",х9429,"Полипропилен-PP I013 GP/5",тн,21.375,"АО ""НСК""",,
228/пп/26,28.01.26,"ООО ""ФОТОПРИНТ-ИВАНОВО""",х9296,"ПВД-15803-020 вс",тн,4.5,"АО ""НСК""",,
230а/пп/26,28.01.26,"ООО ""Легион""",х9134,"Полипропилен-SIBEX PP H350 FF/3",тн,0.025,"АО ""НСК""",,
262а/пп/26,29.01.26,"ООО ""ПроСинтез""",х9088,"Полипропилен-PP H450 GP/1",тн,0.05,"АО ""НСК""",,
249а/пп/26,29.01.26,"ООО ""КАРАТ НЧ""",х9400б,"Полиэтилен-HD 12443 FE",тн,7.5,"АО ""НСК""",,
253а/пп/26,29.01.26,"ООО ""ЕвроСтрой""",х9440,"Полипропилен-SIBEX PP R401 IM/5",тн,2.25,"АО ""НСК""",,
254а/пп/26,29.01.26,"ООО ""ПроСинтез""",х9291,"Полиэтилен-HD 85612 IM",тн,2,"АО ""НСК""",,
231/пп/26,29.01.26,"ООО ""Гамма Хим Трейд""",х9286,"ПВД-15803-020 вс",тн,16.5,"АО ""НСК""",,
237/пп/26,29.01.26,"ООО ""ПК ""Поволжье Полимер""",х9296,"ПВД-15803-020 вс",тн,15.8,"АО ""НСК""",,
164т/26Б,29.01.26,"ООО ""Синтерком-С""",х9355а,"Полиэтилен-HD 10500 FE",тн,3,"АО ""НСК""",,
150/пп/26,29.01.26,"ООО ""Руспласт""",х9296,"ПВД-15803-020 вс",тн,0.7,"АО ""НСК""",,
237/пп/26,29.01.26,"ООО ""ПК ""Поволжье Полимер""",х9286,"ПВД-15803-020 вс",тн,5.2,"АО ""НСК""",,
231/пп/26,29.01.26,"ООО ""Гамма Хим Трейд""",х9268,"ПВД-15803-020 вс",тн,6,"АО ""НСК""",,
264а/пп/26,30.01.26,"ООО ""ПроСинтез""",х9106,"Полипропилен-SIBEX PP H270 FF/3",тн,6,"АО ""НСК""",,
239/пп/26,30.01.26,"ООО ПТК ""АТЛАНТ""",х9456,"ПВД-15803-020-С вс",тн,3,"АО ""НСК""",,
304/ПК/26,30.01.26,"ООО ""АИС ГРУПП""",х9355б,"Полиэтилен-HD 03580 SB",тн,2.5,"АО ""НСК""",,
231/пп/26,30.01.26,"ООО ""Гамма Хим Трейд""",х9288,"ПВД-15803-020 вс",тн,22.5,"АО ""НСК""",,
240/пп/26,30.01.26,"ООО ПТК ""АТЛАНТ""",х9456,"ПВД-15803-020-С вс",тн,1.825,"АО ""НСК""",,
274а/пп/26,30.01.26,"ООО ""СП Комплект""",х9205а,"Полиэтилен-LL 09200 FE",тн,7.5,"АО ""НСК""",,
275а/пп/26,30.01.26,"ООО ""СП Комплект""",х9291,"Полиэтилен-HD 85612 IM",тн,6.875,"АО ""НСК""",,
269а/пп/26,30.01.26,"ООО ""ЕвроСтрой""",х9291,"Полиэтилен-HD 85612 IM",тн,2.75,"АО ""НСК""",,
178т/26Б,30.01.26,"ООО ""СПЕКТР"" г.Москва",х9287,"ПВД-10803-020 ВС",тн,0.6,"АО ""НСК""",,
153/пп/26,30.01.26,"ООО ""ПолиТэр""",х9286,"ПВД-15803-020 вс",тн,0.8,"АО ""НСК""",,
153/пп/26,30.01.26,"ООО ""ПолиТэр""",х9306,"ПВД-15803-020 вс",тн,11.2,"АО ""НСК""",,
276а/пп/26,30.01.26,"ООО ""АМГ КОММЕРЦ""",х9485,"Полиэтилен-HD 18520 IM",тн,22,"АО ""НСК""",,
368/ПК/26,30.01.26,"ООО ""Экопласт""*",х9484,"Полиэтилен-PE HD A",тн,22.5,"АО ""НСК""",,
234/пп/26,31.01.26,"ООО ""ТПК ""Пентан""",х9472,"Полипропилен-гранулиров. (РР Н030)",тн,20,"АО ""НСК""",,
,,,,,,1025.505,,,
